Commune,Année,Répartition,Site web des conseils municipaux (une ligne par lien),Type de site
Ahaxe-Alciette-Bascassan,,Lalie,pas de site web,n/a
Ahetze,,Lalie,https://www.ahetze.fr/vie-municipale/conseil-municipal/deliberations/,page unique
Aïcirits-Camou-Suhast,,Lalie,http://www.aiciritscamousuhast.fr/fr/comptes-rendus,pagination
Aincille,,Lalie,pas de site web,n/a
Ainharp,,Lalie,pas de site web,n/a
Ainhice-Mongelos,,Lalie,pas de site web,n/a
Ainhoa,,Lalie,https://www.ainhoa.fr/les-deliberations,page unique avec drop downs par conseil (url différent pour chaque drop down)
Alçay-Alçabéhéty-Sunharette,,Lalie,pas de site web,n/a
Aldudes,,Lalie,pas de site web,n/a
Alos-Sibas-Abense,,Lalie,http://www.alos-sibas-abense.com/bulletins1.php,page unique
Amendeuix-Oneix,,Lalie,https://amendeuix-oneix.com/deliberations-du-conseil-2/,"une page, incomplet avant 2023, sous liseuse web (pas de PDF)"
Amorots-Succos,,Lalie,pas de site web,n/a
Anglet,,Lalie,https://www.anglet.fr/ma-ville/ma-mairie/fiche-pratique/actualites/voir-le-conseil-municipal/,page unique
Anhaux,,Lalie,pas de site web,n/a
Arancou,,Lalie,https://www.arancou.fr/categorie/reunions-documents-mairie/,"pagination, incomplet après 2020"
Arbérats-Sillègue,,Lalie,pas de site web,n/a
Arbonne,,Lalie,https://www.arbonne.fr/deliberations-du-conseil-municipal/,page unique
Arbouet-Sussaute,,Lalie,pas de site web,n/a
Arcangues,,Lalie,https://www.arcangues.fr/deliberations-du-conseil-municipal/,une page par année
Arhansus,,Lalie,pas de site web,n/a
Armendarits,,Lalie,pas de site web,n/a
Arnéguy,,Lalie,pas de site web,n/a
Aroue-Ithorots-Olhaïby,,Lalie,pas de site web,n/a
Arrast-Larrebieu,,Lalie,pas de site web,n/a
Arraute-Charritte,,Lalie,pas de site web,n/a
Ascain,,Lalie,https://www.mairie-ascain.fr/publications/conseils-municipaux,pagination avec drop downs par conseil (url différent pour chaque drop down)
Ascarat,,Lalie,pas de site web,n/a
Aussurucq,,Lalie,pas de site web,n/a
Ayherre,,Lalie,http://www.ayherre.fr/aiherrayherre/vie-municipale/deliberations.html,"page unique sous dropdowns, incomplet avant 2022"
Banca,,Lalie,pas de site web,n/a
Barcus,,Lalie,pas de site web,n/a
